Temperature (K),Density (kg/m^3),Viscosity (kg/m*s)
563.15,0.6268086379210133,2.8838358777354086e-05
564.15,0.625697570584452,2.8872340474896812e-05
565.15,0.6245904351857359,2.8906289505596515e-05
566.15,0.6234872108897264,2.8940205954262858e-05
567.15,0.6223878770082317,2.8974089905363753e-05
568.15,0.6212924129987127,2.9007941443027142e-05
569.15,0.6202007984630038,2.9041760651042853e-05
570.15,0.6191130131460468,2.9075547612864375e-05
571.15,0.6180290369346382,2.91093024116106e-05
572.15,0.6169488498561891,2.914302513006767e-05
573.15,0.6158724320774991,2.9176715850690672e-05
574.15,0.614799763903542,2.9210374655605425e-05
575.15,0.6137308257762647,2.9244001626610223e-05
576.15,0.6126655982733985,2.927759684517753e-05
577.15,0.6116040621072834,2.93111603924557e-05
578.15,0.6105461981237026,2.9344692349270728e-05
579.15,0.6094919873007314,2.937819279612788e-05
580.15,0.6084414107475974,2.941166181321342e-05
581.15,0.6073944497035508,2.944509948039626e-05
582.15,0.6063510855367493,2.9478505877229654e-05
583.15,0.6053112997431512,2.9511881082952802e-05
584.15,0.6042750739454226,2.9545225176492516e-05
585.15,0.6032423898918544,2.9578538236464865e-05
586.15,0.6022132294552905,2.9611820341176744e-05
587.15,0.6011875746320677,2.9645071568627565e-05
588.15,0.6001654075409651,2.9678291996510768e-05
589.15,0.5991467104221652,2.9711481702215483e-05
590.15,0.5981314656362258,2.974464076282805e-05
591.15,0.5971196556630611,2.9777769255133625e-05
592.15,0.5961112631009349,2.9810867255617738e-05
593.15,0.5951062706654617,2.9843934840467822e-05
594.15,0.59410466118862,2.9876972085574775e-05
595.15,0.5931064176177747,2.9909979066534468e-05
596.15,0.5921115230147087,2.9942955858649287e-05
597.15,0.5911199605546656,2.9975902536929622e-05
598.15,0.5901317135254011,3.0008819176095394e-05
599.15,0.5891467653262431,3.004170585057751e-05
600.15,0.5881650994671642,3.0074562634519385e-05
601.15,0.5871866995678592,3.0107389601778402e-05
602.15,0.5862115493568357,3.0140186825927344e-05
603.15,0.5852396326705108,3.0172954380255907e-05
604.15,0.5842709334523191,3.020569233777211e-05
605.15,0.5833054357518278,3.023840077120371e-05
606.15,0.5823431237238614,3.027107975299967e-05
607.15,0.581383981627635,3.0303729355331577e-05
608.15,0.5804279938258959,3.033634965009502e-05
609.15,0.5794751447840738,3.036894070891103e-05
610.15,0.5785254190694397,3.0401502603127434e-05
611.15,0.5775788013502717,3.043403540382026e-05
612.15,0.5766352763950316,3.0466539181795118e-05
613.15,0.5756948290715463,3.0499014007588547e-05
614.15,0.5747574443461998,3.053145995146939e-05
615.15,0.5738231072831319,3.0563877083440136e-05
616.15,0.5728918030434449,3.0596265473238264e-05
617.15,0.571963516884418,3.062862519033758e-05
618.15,0.5710382341587295,3.066095630394954e-05
619.15,0.5701159403136858,3.069325888302455e-05
620.15,0.5691966208904597,3.0725532996253295e-05
621.15,0.5682802615233334,3.0757778712068044e-05
622.15,0.5673668479389514,3.078999609864392e-05
623.15,0.5664563659555784,3.082218522390022e-05
624.15,0.5655488014823657,3.085434615550164e-05
625.15,0.5646441405186253,3.08864789608596e-05
626.15,0.563742369153108,3.0918583707133454e-05
627.15,0.562843473563292,3.09506604612318e-05
628.15,0.5619474400146758,3.0982709289813667e-05
